,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
156,5091,0.064,0.124,0.106,0.21899999999999997,0.48700000000000004
157,5093,0.033,0.109,0.134,0.284,0.44
158,5095,0.068,0.128,0.127,0.271,0.406
159,5097,0.081,0.095,0.136,0.166,0.521
160,5099,0.14300000000000002,0.048,0.084,0.22399999999999998,0.501
161,5101,0.107,0.14,0.084,0.261,0.408
162,5103,0.151,0.09699999999999999,0.06,0.242,0.449
163,5105,0.098,0.051,0.08,0.36700000000000005,0.40399999999999997
164,5107,0.052000000000000005,0.061,0.134,0.276,0.47700000000000004
165,5109,0.064,0.061,0.2,0.17600000000000002,0.501
166,5111,0.077,0.098,0.141,0.287,0.397
167,5113,0.18,0.08,0.217,0.076,0.446
168,5115,0.08199999999999999,0.151,0.18100000000000002,0.285,0.302
169,5117,0.062,0.17,0.10300000000000001,0.273,0.391
170,5119,0.027999999999999997,0.027000000000000003,0.126,0.175,0.644
171,5121,0.051,0.145,0.203,0.289,0.311
172,5123,0.087,0.006999999999999999,0.289,0.267,0.35
173,5125,0.066,0.044000000000000004,0.154,0.212,0.524
174,5127,0.155,0.14,0.124,0.12300000000000001,0.45799999999999996
175,5129,0.1,0.08800000000000001,0.125,0.149,0.5379999999999999
176,5131,0.121,0.142,0.157,0.20800000000000002,0.37200000000000005
177,5133,0.12,0.09300000000000001,0.155,0.165,0.467
178,5135,0.067,0.158,0.22,0.222,0.33299999999999996
179,5137,0.067,0.092,0.11,0.23399999999999999,0.498
180,5139,0.11599999999999999,0.179,0.098,0.262,0.344
181,5141,0.033,0.06,0.096,0.272,0.539
182,5143,0.034,0.027999999999999997,0.10099999999999999,0.18600000000000003,0.6509999999999999
183,5145,0.026000000000000002,0.054000000000000006,0.152,0.27699999999999997,0.491
184,5147,0.059000000000000004,0.048,0.20800000000000002,0.231,0.45399999999999996
185,5149,0.11599999999999999,0.1,0.11199999999999999,0.198,0.474
186,6001,0.019,0.008,0.055,0.12300000000000001,0.795
187,6003,0.025,0.085,0.08800000000000001,0.19,0.612
188,6005,0.045,0.013000000000000001,0.099,0.188,0.655
189,6007,0.015,0.043,0.111,0.204,0.626
190,6009,0.045,0.019,0.098,0.276,0.562
191,6011,0.027000000000000003,0.031,0.092,0.151,0.7
192,6013,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999
193,6015,0.01,0.135,0.11199999999999999,0.196,0.547
194,6017,0.027999999999999997,0.042,0.07200000000000001,0.183,0.675
195,6019,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741
196,6021,0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594
197,6023,0.042,0.006,0.018000000000000002,0.069,0.865
198,6025,0.001,0.005,0.03,0.128,0.836
199,6027,0.033,0.011000000000000001,0.008,0.057999999999999996,0.889
200,6029,0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999
201,6031,0.075,0.016,0.049,0.094,0.7659999999999999
202,6033,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001
203,6035,0.064,0.068,0.162,0.225,0.48200000000000004
204,6037,0.021,0.013000000000000001,0.049,0.131,0.7859999999999999
205,6039,0.019,0.059000000000000004,0.048,0.124,0.7509999999999999
206,6041,0.011000000000000001,0.0,0.046,0.141,0.802
207,6043,0.01,0.094,0.049,0.18600000000000003,0.6609999999999999
208,6045,0.002,0.003,0.004,0.222,0.77
209,6047,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.146,0.703
210,6049,0.068,0.019,0.095,0.204,0.615
211,6051,0.011000000000000001,0.026000000000000002,0.012,0.07,0.88
212,6053,0.023,0.006,0.066,0.141,0.763
213,6055,0.017,0.026000000000000002,0.033,0.149,0.773
