COUNTYFP,unemployment_rate,cases_avg_per_100k,deaths_avg_per_100k,party,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
4023,11.957142857142857,5480.219999999999,116.47999999999999,DEMOCRAT,0.028,0.002,0.058,0.074,0.837
4025,8.6,725.56,25.049999999999997,REPUBLICAN,0.031,0.073,0.081,0.176,0.639
4027,19.214285714285715,4934.759999999999,111.12,REPUBLICAN,0.008,0.013,0.046,0.129,0.804
5001,4.271428571428571,1059.1899999999998,5.74,REPUBLICAN,0.019,0.073,0.134,0.216,0.557
5003,9.971428571428572,1022.0600000000003,20.390000000000004,REPUBLICAN,0.023,0.103,0.163,0.117,0.595
5005,6.785714285714286,139.54999999999998,0.0,REPUBLICAN,0.15,0.104,0.108,0.104,0.534
5007,4.8999999999999995,1552.4399999999998,12.3,REPUBLICAN,0.081,0.034,0.083,0.16,0.643
5009,6.042857142857144,344.25,2.6599999999999997,REPUBLICAN,0.129,0.145,0.122,0.189,0.416
5011,6.514285714285714,1242.3200000000002,23.94,REPUBLICAN,0.094,0.102,0.175,0.184,0.445
5013,5.8,224.41000000000003,0.0,REPUBLICAN,0.145,0.132,0.108,0.211,0.404
5015,6.4142857142857155,1173.2700000000002,21.07,REPUBLICAN,0.111,0.068,0.115,0.129,0.577
5017,10.857142857142858,3869.9300000000003,42.31,DEMOCRAT,0.104,0.074,0.193,0.097,0.531
5019,6.6,700.73,0.0,REPUBLICAN,0.08,0.091,0.08,0.231,0.518
5021,7.071428571428571,734.2600000000001,27.480000000000004,REPUBLICAN,0.082,0.124,0.157,0.242,0.395
5023,8.7,728.2500000000001,20.040000000000003,REPUBLICAN,0.036,0.065,0.093,0.259,0.546
5025,6.485714285714287,808.4300000000001,12.600000000000001,REPUBLICAN,0.107,0.03,0.16,0.231,0.472
5027,7.071428571428571,782.7499999999999,23.79,REPUBLICAN,0.241,0.072,0.054,0.25,0.383
5029,6.799999999999999,606.64,14.469999999999999,REPUBLICAN,0.071,0.12,0.137,0.347,0.325
5031,5.8428571428571425,910.4900000000002,9.879999999999999,REPUBLICAN,0.078,0.123,0.138,0.341,0.32
5033,6.028571428571427,751.3100000000001,4.780000000000002,REPUBLICAN,0.155,0.1,0.167,0.211,0.367
5035,8.785714285714286,2334.7100000000005,34.75,DEMOCRAT,0.059,0.017,0.11,0.306,0.508
5037,6.671428571428572,933.51,6.09,REPUBLICAN,0.097,0.017,0.163,0.319,0.404
5039,6.2,672.2900000000001,0.0,REPUBLICAN,0.197,0.055,0.093,0.196,0.459
5041,7.414285714285714,1181.37,13.86,DEMOCRAT,0.078,0.033,0.19,0.189,0.509
5043,7.714285714285715,803.4100000000001,10.920000000000002,REPUBLICAN,0.063,0.049,0.207,0.159,0.523
5045,6.128571428571428,883.59,3.3000000000000007,REPUBLICAN,0.066,0.027,0.077,0.403,0.426
5047,6.228571428571428,500.7200000000001,8.910000000000004,REPUBLICAN,0.149,0.079,0.245,0.187,0.34
5049,5.642857142857143,222.48000000000002,0.0,REPUBLICAN,0.105,0.121,0.226,0.197,0.351
5051,8.571428571428573,725.4800000000001,6.19,REPUBLICAN,0.025,0.102,0.068,0.21,0.596
5053,5.771428571428571,645.1299999999999,0.0,REPUBLICAN,0.082,0.043,0.127,0.258,0.489
5055,6.814285714285715,555.76,2.24,REPUBLICAN,0.062,0.141,0.154,0.346,0.297
5057,5.814285714285715,885.0399999999998,9.24,REPUBLICAN,0.098,0.073,0.096,0.179,0.554
5059,6.314285714285714,4268.720000000001,17.330000000000002,REPUBLICAN,0.059,0.086,0.079,0.216,0.56
5061,5.5,2025.6399999999999,23.759999999999998,REPUBLICAN,0.081,0.07,0.145,0.145,0.56
5063,6.528571428571428,696.89,0.0,REPUBLICAN,0.137,0.156,0.088,0.179,0.44
5065,9.557142857142859,277.61,7.35,REPUBLICAN,0.086,0.121,0.133,0.23,0.43
5067,7.942857142857143,365.93999999999994,5.949999999999999,REPUBLICAN,0.116,0.103,0.135,0.179,0.468
5069,8.314285714285713,1836.0100000000002,53.650000000000006,DEMOCRAT,0.042,0.036,0.172,0.173,0.577
5071,7.214285714285714,2247.5900000000006,0.0,REPUBLICAN,0.144,0.103,0.205,0.221,0.328
5073,7.742857142857143,731.81,30.240000000000002,REPUBLICAN,0.12,0.082,0.078,0.234,0.486
5075,6.757142857142858,1061.94,54.81000000000001,REPUBLICAN,0.085,0.128,0.153,0.298,0.337
5077,8.071428571428571,10736.89,82.19,DEMOCRAT,0.103,0.032,0.195,0.263,0.407
5079,6.571428571428571,8899.34,84.46,REPUBLICAN,0.035,0.016,0.194,0.201,0.554
5081,7.085714285714286,906.7399999999999,8.19,REPUBLICAN,0.074,0.121,0.106,0.201,0.499
5083,7.657142857142857,619.6700000000001,5.350000000000001,REPUBLICAN,0.148,0.11,0.12,0.143,0.479
5085,6.114285714285714,538.6800000000001,2.6599999999999997,REPUBLICAN,0.048,0.045,0.136,0.297,0.474
5087,4.157142857142857,1549.52,6.0200000000000005,REPUBLICAN,0.075,0.088,0.159,0.114,0.564
5089,7.0,118.15999999999998,0.0,REPUBLICAN,0.171,0.112,0.119,0.108,0.49
5091,7.685714285714286,991.05,8.25,REPUBLICAN,0.064,0.124,0.106,0.219,0.487
5093,9.685714285714285,1468.97,19.97,REPUBLICAN,0.033,0.109,0.134,0.284,0.44
5095,6.842857142857143,747.8599999999999,0.0,REPUBLICAN,0.068,0.128,0.127,0.271,0.406
5097,7.585714285714286,277.66999999999996,0.0,REPUBLICAN,0.081,0.095,0.136,0.166,0.521
5099,6.3999999999999995,1532.0400000000002,100.36,REPUBLICAN,0.143,0.048,0.084,0.224,0.501
5101,5.928571428571429,1175.2599999999998,11.06,REPUBLICAN,0.107,0.14,0.084,0.261,0.408
5103,6.871428571428573,343.62000000000006,4.27,REPUBLICAN,0.151,0.097,0.06,0.242,0.449
5105,6.257142857142857,548.32,0.0,REPUBLICAN,0.098,0.051,0.08,0.367,0.404
5107,9.828571428571431,1452.86,33.69000000000001,DEMOCRAT,0.052,0.061,0.134,0.276,0.477
5109,6.414285714285714,669.2900000000001,6.65,REPUBLICAN,0.064,0.061,0.2,0.176,0.501
5111,6.014285714285713,562.39,12.770000000000001,REPUBLICAN,0.077,0.098,0.141,0.287,0.397
5113,7.414285714285714,638.0300000000001,6.42,REPUBLICAN,0.18,0.08,0.217,0.076,0.446
5115,6.642857142857143,1712.3,10.84,REPUBLICAN,0.082,0.151,0.181,0.285,0.302
5117,5.942857142857142,703.41,0.0,REPUBLICAN,0.062,0.17,0.103,0.273,0.391
5119,7.714285714285714,1149.4499999999998,19.269999999999996,DEMOCRAT,0.028,0.027,0.126,0.175,0.644
5121,6.485714285714286,820.2600000000001,11.2,REPUBLICAN,0.051,0.145,0.203,0.289,0.311
5123,8.385714285714286,4355.929999999999,11.969999999999999,DEMOCRAT,0.087,0.007,0.289,0.267,0.35
5125,5.5857142857142845,660.0299999999999,3.0,REPUBLICAN,0.066,0.044,0.154,0.212,0.524
5127,4.857142857142857,326.6,0.0,REPUBLICAN,0.155,0.14,0.124,0.123,0.458
5129,7.3999999999999995,319.61,0.0,REPUBLICAN,0.1,0.088,0.125,0.149,0.538
5131,6.628571428571428,1178.0600000000002,10.360000000000003,REPUBLICAN,0.121,0.142,0.157,0.208,0.372
5133,6.314285714285715,5366.76,56.28,REPUBLICAN,0.12,0.093,0.155,0.165,0.467
5135,7.885714285714285,604.85,28.700000000000003,REPUBLICAN,0.067,0.158,0.22,0.222,0.333
5137,7.814285714285714,364.23999999999995,7.979999999999999,REPUBLICAN,0.067,0.092,0.11,0.234,0.498
5139,9.000000000000002,995.3100000000001,39.959999999999994,REPUBLICAN,0.116,0.179,0.098,0.262,0.344
5141,7.828571428571428,316.52,12.040000000000001,REPUBLICAN,0.033,0.06,0.096,0.272,0.539
5143,4.985714285714286,2407.81,18.229999999999997,REPUBLICAN,0.034,0.028,0.101,0.186,0.651
5145,7.014285714285713,302.19000000000005,2.5199999999999996,REPUBLICAN,0.026,0.054,0.152,0.277,0.491
5147,6.4,331.1,0.0,REPUBLICAN,0.059,0.048,0.208,0.231,0.454
5149,5.628571428571428,4572.07,65.66000000000001,REPUBLICAN,0.116,0.1,0.112,0.198,0.474
6001,8.985714285714286,643.9599999999999,10.820000000000002,DEMOCRAT,0.019,0.008,0.055,0.123,0.795
6003,13.571428571428571,354.2000000000001,0.0,DEMOCRAT,0.025,0.085,0.088,0.19,0.612
6005,9.757142857142856,239.03,0.0,REPUBLICAN,0.045,0.013,0.099,0.188,0.655
6007,9.857142857142858,390.9700000000001,3.0900000000000007,DEMOCRAT,0.015,0.043,0.111,0.204,0.626
6009,8.257142857142858,235.46999999999997,2.17,REPUBLICAN,0.045,0.019,0.098,0.276,0.562
6011,19.485714285714284,1347.2599999999998,12.620000000000001,REPUBLICAN,0.027,0.031,0.092,0.151,0.7
6013,9.128571428571428,641.46,9.310000000000002,DEMOCRAT,0.018,0.016,0.039,0.121,0.806
6015,10.057142857142859,315.34000000000003,0.0,REPUBLICAN,0.01,0.135,0.112,0.196,0.547
6017,9.128571428571428,297.57000000000005,0.49000000000000005,REPUBLICAN,0.028,0.042,0.072,0.183,0.675
6019,12.185714285714287,1360.6000000000001,11.93,DEMOCRAT,0.021,0.022,0.059,0.156,0.741
6021,9.928571428571429,972.54,3.5,REPUBLICAN,0.028,0.026,0.146,0.206,0.594
6023,8.942857142857143,170.42000000000004,2.99,DEMOCRAT,0.042,0.006,0.018,0.069,0.865
6025,24.02857142857143,5076.04,106.9,DEMOCRAT,0.001,0.005,0.03,0.128,0.836
6027,8.485714285714286,256.74,11.839999999999996,DEMOCRAT,0.033,0.011,0.008,0.058,0.889
6029,13.614285714285714,1997.6699999999998,14.710000000000003,REPUBLICAN,0.022,0.028,0.105,0.177,0.668
6031,12.599999999999998,2641.6600000000008,32.99,REPUBLICAN,0.075,0.016,0.049,0.094,0.766
6033,10.314285714285715,286.3400000000001,1.54,DEMOCRAT,0.003,0.004,0.007,0.136,0.849
6035,7.971428571428571,2011.7300000000002,0.0,REPUBLICAN,0.064,0.068,0.162,0.225,0.482
6037,12.614285714285714,1791.2000000000003,44.42,DEMOCRAT,0.021,0.013,0.049,0.131,0.786
6039,11.885714285714286,1221.6899999999996,15.210000000000003,REPUBLICAN,0.019,0.059,0.048,0.124,0.751
6041,7.128571428571428,1870.3300000000002,22.52,DEMOCRAT,0.011,0.0,0.046,0.141,0.802
6043,11.942857142857145,310.92999999999995,10.79,REPUBLICAN,0.01,0.094,0.049,0.186,0.661
6045,9.557142857142859,362.77,7.8900000000000015,DEMOCRAT,0.002,0.003,0.004,0.222,0.77
6047,13.457142857142857,1338.53,12.000000000000002,DEMOCRAT,0.026,0.036,0.089,0.146,0.703
6049,9.957142857142857,9.69,0.0,REPUBLICAN,0.068,0.019,0.095,0.204,0.615
6051,14.442857142857145,909.1999999999998,6.930000000000001,DEMOCRAT,0.011,0.026,0.012,0.07,0.88
6053,12.542857142857141,969.6899999999999,5.540000000000002,DEMOCRAT,0.023,0.006,0.066,0.141,0.763
6055,9.528571428571428,589.25,5.710000000000001,DEMOCRAT,0.017,0.026,0.033,0.149,0.773
6057,8.742857142857144,287.96999999999997,0.9800000000000001,DEMOCRAT,0.003,0.054,0.084,0.177,0.682
6059,9.128571428571428,1102.26,18.72,DEMOCRAT,0.023,0.021,0.046,0.156,0.754
6061,7.942857142857143,438.65999999999997,3.810000000000001,REPUBLICAN,0.012,0.023,0.072,0.201,0.693
6063,12.37142857142857,127.57000000000001,0.0,REPUBLICAN,0.063,0.067,0.053,0.146,0.671
6065,10.228571428571428,1455.49,27.090000000000003,DEMOCRAT,0.026,0.014,0.041,0.116,0.803
6067,9.457142857142856,597.97,7.9300000000000015,DEMOCRAT,0.025,0.028,0.062,0.164,0.722
6069,10.971428571428573,916.67,4.800000000000001,DEMOCRAT,0.018,0.004,0.063,0.175,0.739
6071,9.428571428571429,1390.35,17.890000000000004,DEMOCRAT,0.027,0.022,0.048,0.134,0.768
6073,9.671428571428573,837.19,16.91,DEMOCRAT,0.017,0.023,0.034,0.126,0.8
6075,8.028571428571428,697.2200000000001,6.380000000000003,DEMOCRAT,0.017,0.011,0.035,0.121,0.817
6077,11.828571428571427,1457.6899999999998,17.540000000000003,DEMOCRAT,0.054,0.019,0.081,0.165,0.68
6079,8.357142857142858,586.4999999999999,3.8500000000000005,DEMOCRAT,0.025,0.024,0.037,0.169,0.745
6081,7.114285714285715,680.97,15.3,DEMOCRAT,0.016,0.013,0.058,0.126,0.786
6083,8.657142857142857,1350.7699999999998,8.290000000000001,DEMOCRAT,0.015,0.02,0.075,0.153,0.737
6085,7.328571428571429,486.87,9.57,DEMOCRAT,0.015,0.014,0.04,0.168,0.764
6087,10.685714285714285,368.01,2.28,DEMOCRAT,0.008,0.0,0.086,0.109,0.797
6089,9.471428571428573,185.86,5.170000000000002,REPUBLICAN,0.095,0.056,0.071,0.232,0.547
6091,9.27142857142857,33.25,0.0,REPUBLICAN,0.14,0.053,0.047,0.143,0.617
6093,10.785714285714288,152.63,0.0,REPUBLICAN,0.132,0.074,0.082,0.167,0.546
6095,9.700000000000001,751.7500000000002,7.98,DEMOCRAT,0.043,0.046,0.035,0.148,0.728
6097,8.47142857142857,547.4,6.08,DEMOCRAT,0.022,0.012,0.022,0.149,0.795
6099,11.471428571428572,1517.6100000000004,18.0,DEMOCRAT,0.032,0.028,0.062,0.173,0.705
6101,12.2,723.0599999999998,5.609999999999999,REPUBLICAN,0.058,0.031,0.08,0.163,0.669
6103,9.642857142857142,300.87,3.4800000000000004,REPUBLICAN,0.057,0.062,0.141,0.195,0.545
6105,9.0,34.849999999999994,0.0,REPUBLICAN,0.081,0.07,0.055,0.201,0.592
6107,14.4,1890.3099999999995,36.95000000000001,REPUBLICAN,0.025,0.039,0.115,0.136,0.685
6109,11.414285714285713,245.11000000000004,2.6,REPUBLICAN,0.008,0.043,0.084,0.212,0.653
6111,9.014285714285716,820.78,8.3,DEMOCRAT,0.024,0.011,0.033,0.156,0.777
6113,8.071428571428571,656.1499999999999,17.560000000000002,DEMOCRAT,0.007,0.005,0.04,0.156,0.791
6115,11.157142857142857,534.2499999999999,7.370000000000001,REPUBLICAN,0.057,0.035,0.071,0.167,0.669
8001,8.271428571428572,1106.63,32.55,DEMOCRAT,0.032,0.027,0.071,0.185,0.685
8003,6.528571428571429,1360.4800000000002,47.519999999999996,REPUBLICAN,0.052,0.133,0.094,0.228,0.493
8005,8.028571428571428,1015.9699999999999,58.850000000000016,DEMOCRAT,0.013,0.026,0.065,0.193,0.703
8007,8.557142857142857,237.09,0.0,REPUBLICAN,0.041,0.041,0.155,0.276,0.488
8009,2.6142857142857143,390.9700000000001,0.0,REPUBLICAN,0.113,0.053,0.194,0.206,0.435
8011,4.242857142857143,108.81,0.0,REPUBLICAN,0.033,0.036,0.172,0.191,0.567
8013,6.528571428571428,559.71,23.129999999999995,DEMOCRAT,0.008,0.015,0.032,0.195,0.75
8014,7.085714285714286,548.31,46.080000000000005,DEMOCRAT,0.018,0.005,0.042,0.201,0.734
8015,7.214285714285714,1402.5499999999997,109.39999999999996,DEMOCRAT,0.038,0.045,0.134,0.138,0.645
8017,2.3428571428571425,674.0600000000001,0.0,REPUBLICAN,0.016,0.187,0.106,0.398,0.292
8019,9.085714285714285,266.6,10.290000000000001,DEMOCRAT,0.002,0.015,0.138,0.123,0.723
8021,6.128571428571428,277.6000000000001,0.0,REPUBLICAN,0.06,0.106,0.093,0.195,0.545
8023,7.171428571428572,591.8799999999998,0.0,DEMOCRAT,0.034,0.072,0.076,0.175,0.644
8025,5.5,1207.58,16.52,REPUBLICAN,0.002,0.034,0.08,0.294,0.59
8027,5.471428571428572,197.34999999999997,0.0,REPUBLICAN,0.017,0.098,0.153,0.234,0.498
8029,7.028571428571429,355.5,3.22,REPUBLICAN,0.087,0.094,0.074,0.295,0.45
8031,8.4,1288.38,58.83,DEMOCRAT,0.02,0.018,0.062,0.194,0.707
8033,7.842857142857143,97.30000000000001,0.0,REPUBLICAN,0.052,0.039,0.066,0.252,0.591
8035,6.228571428571429,442.91,16.830000000000005,REPUBLICAN,0.013,0.041,0.081,0.192,0.673
8037,11.4,1845.5400000000002,16.379999999999995,DEMOCRAT,0.008,0.003,0.033,0.269,0.687
8039,5.085714285714286,323.2,7.420000000000002,REPUBLICAN,0.016,0.044,0.19,0.246,0.505
8041,7.742857142857141,601.8199999999999,22.460000000000008,REPUBLICAN,0.031,0.089,0.081,0.196,0.603
