COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
48191,1.2658064516129022,TEXAS,TX,HALL,REPUBLICAN,1169.0,0.8511548331907614,REPUBLICAN,1091.0,0.8185151237396884,#970D03,both,3.2639709451072974,Stayed Republican
1085,1.264956331877734,ALABAMA,AL,LOWNDES,DEMOCRAT,6835.0,0.7274323335771763,DEMOCRAT,6684.0,0.7305505685218432,#030D97,both,-0.3118234944666898,Stayed Democrat
46037,1.2608018867924522,SOUTH DAKOTA,SD,DAY,REPUBLICAN,2964.0,0.6305668016194332,REPUBLICAN,2747.0,0.592282489989079,#970D03,both,3.8284311630354284,Stayed Republican
26071,1.2599743589743608,MICHIGAN,MI,IRON,REPUBLICAN,6789.0,0.6210045662100456,REPUBLICAN,5910.0,0.6218274111675127,#970D03,both,-0.08228449574670949,Stayed Republican
13243,1.2436206896551756,GEORGIA,GA,RANDOLPH,DEMOCRAT,3074.0,0.5435914118412492,DEMOCRAT,2899.0,0.55122456019317,#030D97,both,-0.763314835192086,Stayed Democrat
48109,1.238172043010752,TEXAS,TX,CULBERSON,DEMOCRAT,864.0,0.5069444444444444,DEMOCRAT,767.0,0.5919165580182529,#030D97,both,-8.497211357380852,Stayed Democrat
46049,1.2370459518599564,SOUTH DAKOTA,SD,FAULK,REPUBLICAN,1182.0,0.8155668358714044,REPUBLICAN,1118.0,0.7674418604651163,#970D03,both,4.812497540628813,Stayed Republican
28055,1.232452316076294,MISSISSIPPI,MS,ISSAQUENA,DEMOCRAT,676.0,0.5251479289940828,DEMOCRAT,699.0,0.5650929899856938,#030D97,both,-3.994506099161099,Stayed Democrat
13315,1.2295584988962425,GEORGIA,GA,WILCOX,REPUBLICAN,3281.0,0.7323986589454434,REPUBLICAN,2976.0,0.7043010752688172,#970D03,both,2.809758367662618,Stayed Republican
13099,1.227354838709673,GEORGIA,GA,EARLY,REPUBLICAN,5187.0,0.5247734721418932,REPUBLICAN,4785.0,0.5333333333333333,#970D03,both,-0.8559861191440143,Stayed Republican
19063,1.2266341463414652,IOWA,IA,EMMET,REPUBLICAN,4853.0,0.6733978982072945,REPUBLICAN,4753.0,0.657269093204292,#970D03,both,1.61288050030024,Stayed Republican
22041,1.2252192982456156,LOUISIANA,LA,FRANKLIN,REPUBLICAN,9720.0,0.7170781893004116,REPUBLICAN,9162.0,0.7109801353416285,#970D03,both,0.6098053958783045,Stayed Republican
48079,1.2230930232558128,TEXAS,TX,COCHRAN,REPUBLICAN,1000.0,0.809,REPUBLICAN,901.0,0.753607103218646,#970D03,both,5.539289678135406,Stayed Republican
19159,1.2142574257425742,IOWA,IA,RINGGOLD,REPUBLICAN,2714.0,0.7273397199705232,REPUBLICAN,2707.0,0.6738086442556336,#970D03,both,5.353107571488957,Stayed Republican
